lane,id,text,suggested_ig_music,caption,final_video
jealousy,JEL-001,"""You look sick."" | Suddenly I'm not ""sick"" now that they see the Ze3pbound results.",Sade - I Couldn't Love You More,248 pounds and I planned my whole day around not being seen. Stairs left me winded halfway up and I'd play it off like I forgot something at the bottom. I remember thinking this was just going to be my life now.\n\n68 pounds gone and I tried on a dress off the regular rack and it just fit. I walk into rooms differently. I don't scan for the safe seat anymore. I don't think about who doubted it anymore. I'm too busy living it.\n\n#transformation #realresults #weightlossjourney,https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-001.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAwMS5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5NzU0LCJleHAiOjE4MTc2NjU3NTR9.TOdVtXI5FgPFj9BsMFHY4UGxco4z26Qw7_VTaDv7k9U
jealousy,JEL-002,"""You looked better before."" | Suddenly nobody remembers ""before"" now that they see the results.",Massive Attack - Angel,254 pounds and I hadn't been in a photo with my kids in two years. Stairs left me winded halfway up and I'd play it off like I forgot something at the bottom. Everyone had an opinion. Especially the ones who watched me struggle for years and said nothing then. I remember thinking this was just going to be my life now.\n\n68 pounds gone and I put on jeans this week that I have not worn since my twenties. I walk into rooms differently. I don't scan for the safe seat anymore. I don't think about who doubted it anymore. I'm too busy living it.\n\n#momtransformation #beforeandafter #glowup,https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-002.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAwMi5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5Nzc5LCJleHAiOjE4MTc2NjU3Nzl9.Cd6sA5jpABIuQkrQoXLVWEpaNQk2NOulqWLAgPSlRiY
jealousy,JEL-003,"""You lost your curves."" | Suddenly my ""curves"" stopped being her business now that they see the results.",Madonna - Frozen,"260 pounds and I knew every seat in every room that would hold me. I sat out of the pool days, the beach days, the group pictures, all of it, and told everyone I just didn't feel like it. Everyone had an opinion. Especially the ones who watched me struggle for years and said nothing then. I remember thinking this was just going to be my life now.\n\n68 pounds gone and I put on jeans this week that I have not worn since my twenties. I walk into rooms differently. I don't scan for the safe seat anymore. I don't think about who doubted it anymore. I'm too busy living it.\n\n#bodytransformation #weightlosstransformation #realresults",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-003.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAwMy5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5ODAyLCJleHAiOjE4MTc2NjU4MDJ9.4l1IqevECX8jaq5TpfsvmaZOUHuuk9Qlxc_CszLgV8w
jealousy,JEL-004,"""You look like a stick."" | Suddenly ""friends"" are silent now that they see the Ze3pbound results.",Indila - Tourner Dans Le Vide,"266 pounds and getting dressed meant whatever still fit, not whatever I liked. I sat out of the pool days, the beach days, the group pictures, all of it, and told everyone I just didn't feel like it. Everyone had an opinion. Especially the ones who watched me struggle for years and said nothing then. I remember thinking this was just going to be my life now.\n\n68 pounds gone and I caught myself in a store window and did a double take. I keep the photos now. I don't delete a single one. I don't think about who doubted it anymore. I'm too busy living it.\n\n#weightlosstransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-004.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAwNC5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5ODI3LCJleHAiOjE4MTc2NjU4Mjd9.wLxidoh_scaTgXrhRzq20jGnOnzH4wfNTuUTuD7hGmA
jealousy,JEL-007,"""Really? You look the same!"" | Suddenly I don't ""look the same"" now that everyone sees the Ze3pbound results.",Enya - Caribbean Blue,284 pounds and I planned my whole day around not being seen. I ate fine in front of people and then finished the day standing at the counter at midnight not even hungry. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I said yes to the beach trip without thinking about it first. I keep the photos now. I don't delete a single one. The quiet from the people who had so much to say is its own kind of loud.\n\n#bodytransformation #weightlosstransformation #realresults,https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-007.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAwNy5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5ODQ5LCJleHAiOjE4MTc2NjU4NDl9._7ElL9sbLJfhWrvksNGx0kgmwwV08BqfSjkp0MWuvVo
jealousy,JEL-008,"""Oh, you've lost weight? I didn't even notice a change."" | Suddenly she's the only one who didn't notice now that everyone sees the results.",Massive Attack - Angel,"290 pounds and I hadn't been in a photo with my kids in two years. I ate fine in front of people and then finished the day standing at the counter at midnight not even hungry. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I have started standing in the FRONT of the photos. I catch my reflection and it takes me a second to place her, and then I smile. The quiet from the people who had so much to say is its own kind of loud.\n\n#weightlosstransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-008.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAwOC5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5ODc1LCJleHAiOjE4MTc2NjU4NzV9.qfDiarZ9ZD8JUxfzw_w23VegY_2sLlt7NyY2cyByg5M
jealousy,JEL-011,"""You're so skinny, you better not lose any more weight."" | Suddenly she has nothing to say now that they see the Ze3pbound results.",Ghost - Mary On A Cross,254 pounds and I hadn't been in a photo with my kids in two years. Stairs left me winded halfway up and I'd play it off like I forgot something at the bottom. Everyone had an opinion. Especially the ones who watched me struggle for years and said nothing then. I remember thinking this was just going to be my life now.\n\n68 pounds gone and I put on jeans this week that I have not worn since my twenties. I walk into rooms differently. I don't scan for the safe seat anymore. I don't think about who doubted it anymore. I'm too busy living it.\n\n#momtransformation #beforeandafter #glowup,https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-011.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAxMS5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5OTAwLCJleHAiOjE4MTc2NjU5MDB9.qU0oyFA-dV8Yuz2iBmGxfSV9a80kNn0hWCBJTavYtWc
jealousy,JEL-013, | the SEMAGLUTIDE face is REAL,Lady Gaga - Bloody Mary,"266 pounds and getting dressed meant whatever still fit, not whatever I liked. I sat out of the pool days, the beach days, the group pictures, all of it, and told everyone I just didn't feel like it. Everyone had an opinion. Especially the ones who watched me struggle for years and said nothing then. I remember thinking this was just going to be my life now.\n\n68 pounds gone and I caught myself in a store window and did a double take. I keep the photos now. I don't delete a single one. I don't think about who doubted it anymore. I'm too busy living it.\n\n#weightlosstransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-013.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAxMy5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5OTI4LCJleHAiOjE4MTc2NjU5Mjh9.L5mJ0ia95jh9nXR_X4zqHxfpkIKCadrR6doKDemvUtc
jealousy,JEL-017,"""You look thinner than me but we weigh the same."" | Suddenly the scale isn't the topic now that she sees the results.",Joe Strummer - Mondo Bongo,"290 pounds and I hadn't been in a photo with my kids in two years. I ate fine in front of people and then finished the day standing at the counter at midnight not even hungry. The people closest to me had the most to say, and none of it was kind. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I have started standing in the FRONT of the photos. I catch my reflection and it takes me a second to place her, and then I smile. The quiet from the people who had so much to say is its own kind of loud.\n\n#weightlosstransformation #beforeandafter #glowup",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-017.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAxNy5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5OTU5LCJleHAiOjE4MTc2NjU5NTl9.l1DZ1X9joipEOhLq_A8C0NiQnVmbPrXT-3vM85qLnc0
jealousy,JEL-027,"""You know this isn't sustainable, right?"" | Suddenly ""friends"" are silent now that the results made it to month nine.",FC Kahuna - Hayling,"296 pounds and I knew every seat in every room that would hold me. I had a whole rotation of black clothes because black was the only thing I felt safe in. I remember thinking this was just going to be my life now.\n\n73 pounds gone and I have started standing in the FRONT of the photos. I catch my reflection and it takes me a second to place her, and then I smile. The quiet from the people who had so much to say is its own kind of loud.\n\n#transformation #realresults #weightlossjourney",https://qlcmgxgwpzmiebzxflai.supabase.co/storage/v1/object/sign/char3-before-after/JEL-027.mp4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV85N2JiMDBkNy0yZmE2LTQxOTItOGYxYi0zY2M1ZTA5ODUxNzciLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJjaGFyMy1iZWZvcmUtYWZ0ZXIvSkVMLTAyNy5tcDQiLCJzY29wZSI6ImRvd25sb2FkIiwiaWF0IjoxNzg2MTI5OTkwLCJleHAiOjE4MTc2NjU5OTB9._6CvsanR1OOYZqaPFwyrc60oWMc5D68My7HFE4bm92k
